time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-02-17 17:11:02.257 UTC, , , , , , , , , ,125,12938973,9793120, , ,635, ,54803, , , , , , , , , ,635,14, , , ,281,1,4, ,411, , , , , , , , , , , ,54794, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,38,73,346120952,-1, , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , ,200, ,2352, ,408,38716,13678, , , , , , , , , , 
2024-02-17 17:12:02.259 UTC, , , , , , , , , ,125,13094189,9948336, , ,641, ,35296, , , , , , , , , ,641,14, , , ,277,1,4, ,515, , , , , , , , , , , ,35283, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,33,63,236784056,-1, , , , , , , , , , ,1, ,4, , , , , , , , , , , , , , , , , , , , , , ,250, ,1306, ,510,23973,9963, , , , , , , , , , 
2024-02-17 17:13:02.259 UTC, , , , , , , , , ,125,13314117,10168264, , ,653, ,37534, , , , , , , , , ,653,14, , , ,275,1,4, ,207, , , , , , , , , , , ,37527, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,37,74,220286712,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,100, ,1415, ,204,25267,10816, , , , , , , , , , 
2024-02-17 17:14:02.260 UTC, , , , , , , , , ,125,13482997,10337144, , ,665, ,26972, , , , , , , , , ,665,14, , , ,275,1,4, , , , , , , , , , , , , ,26972, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,43,85,228824864,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,977, , ,15873,10110, , , , , , , , , , 
2024-02-17 17:15:02.263 UTC, , , , , , , , , ,125,13576413,10430560, , ,673, ,38159, , , , , , , , , ,673,14, , , ,270,1,4, ,721, , , , , , , , , , , ,38142, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,63,144,623557576,-1, , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,963, ,714,25327,11799, , , , , , , , , , 
2024-02-17 17:16:02.263 UTC, , , , , , , , , ,125,13767877,10622024, , ,686, ,37167, , , , , , , , , ,686,14, , , ,267,1,4, ,309, , , , , , , , , , , ,37158, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,57,139,890272688,-1, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,150, ,1252, ,306,24617,11252, , , , , , , , , , 
2024-02-17 17:17:02.265 UTC, , , , , , , , , ,125,13845589,10699736, , ,692, ,25389, , , , , , , , , ,692,14, , , ,265,1,4, ,309, , , , , , , , , , , ,25382, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,35,80,1212024840,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,150, ,746, ,306,15897,8714, , , , , , , , , , 
2024-02-17 17:18:02.266 UTC, , , , , , , , , ,125,14041829,10895976, , ,705, ,33450, , , , , , , , , ,705,14, , , ,263,1,4, ,309, , , , , , , , , , , ,33443, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,46,105,815049416,-1, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,150, ,1324, ,306,20676,11411, , , , , , , , , , 
2024-02-17 17:19:02.267 UTC, , , , , , , , , ,125,14274877,11129024, , ,718, ,28333, , , , , , , , , ,718,15, , , ,260,1,4, ,411, , , , , , , , , , , ,28322, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,43,99,1005232584,-1, , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , ,200, ,1656, ,408,15929,10696, , , , , , , , , , 
2024-02-17 17:20:02.269 UTC, , , , , , , , , ,125,14439309,11293456, , ,731, ,22124, , , , , , , , , ,731,15, , , ,256,1,4, ,413, , , , , , , , , , , ,22113, , ,1377,1,744,744, , , , ,1427,780471787520,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1708189262048,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,53,136,1154444024,-1, , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,200, ,1342, ,408,10435,10292, , , , , , , , , , 
